ID,Smiles
ZINC00395736,O=C([O-])CNC(=O)Cc1ccc(OCc2ccccc2)c(Cl)c1
ZINC00395745,CCc1c(OCC(O)C[NH2+]C(C)C)cc(C)c(OC(C)=O)c1C
ZINC00398999,O=C(CC1(c2ccccc2)C(=O)c2ccccc2C1=O)c1ccccc1
ZINC00402830,C[NH+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
ZINC00403010,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1
ZINC00405065,Oc1c(Br)cc(-c2ccccc2)cc1Br
ZINC00406534,COc1nc2ccccc2nc1NS(=O)(=O)c1ccc(N)cc1
ZINC00409800,O=C([O-])CCCC1CCC(CC2CCC(CCC(=O)[O-])CC2)CC1
ZINC00427056,CCC(C)NC(=O)C1(C)CCC(=O)N1Cc1ccccc1Cl
ZINC00432083,CC(=O)c1sc(Nc2ccc(Oc3ccccc3)cc2)nc1C
ZINC00449724,O=S(=O)(NC1C2CC3CC(C2)CC1C3)c1ccc(Cl)cc1
ZINC00455071,Cc1c(Cl)cccc1NC(=O)CC[NH+]1CCC(C(N)=O)CC1
ZINC00471900,COC(=O)c1ccc(COC(=O)c2cc3ccccc3oc2=O)cc1
ZINC00485558,Cn1c(=O)n(CCC[NH+](C)C)c(=O)c2c1ncn2CC(O)CO
ZINC00503470,Cc1cccc(C)c1N1CC(=O)N(c2c(C)cccc2C)CC1=O
ZINC00519487,C[NH+]1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1
ZINC00521923,Cc1ccc(C)c(Nc2nc(-c3ccccn3)nc3ccccc23)c1
ZINC00525683,CC(=O)Oc1cc(OC(C)=O)c2c(c1)OC(c1ccccc1)CC2=O
ZINC00530994,CC(=O)Nc1cc(-c2nnc3c4ccccc4c(C)nn23)ccc1C
ZINC00537752,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
ZINC00537755,O=C1NCN(c2ccccc2)C12CC[NH+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
ZINC00537914,O=C([O-])Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
ZINC00537996,CS(=O)(=O)c1ccc2c(c1)N(CCC[NH+]1CCC(C(N)=O)CC1)c1ccccc1S2
ZINC00538202,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1
ZINC00538330,O=C([O-])c1cn(-c2ccc(F)cc2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O
ZINC00538335,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)c(C(F)(F)F)c2)CC1)c1ccc(F)cc1
ZINC00538337,O=C1NCCN1CC[NH+]1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
ZINC00538450,Cc1ccsc1C(=CCC[NH+]1CCCC(C(=O)[O-])C1)c1sccc1C
ZINC00538557,O=C([O-])Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12
ZINC00538658,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
ZINC00540408,CCC1(C(=O)c2ccc(C)cc2)C2c3ccccc3OC(=O)C21C(C)=O
ZINC00568791,O=C(COc1cccc2ccccc12)NC1C2CC3CC(C2)CC1C3
ZINC00571518,Cc1ccc2c(c1)c1c(n2CC(O)C[NH2+]CC2CCCO2)CCCC1
ZINC00572136,Cc1ccc2c(c1)c1c(n2CC(O)C[NH+]2CCCCC2)C(=O)CCC1
ZINC00579472,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
ZINC00582590,CC(C)C(CO)Nc1nc(Nc2ccc(C(=O)[O-])c(Cl)c2)c2ncn(C(C)C)c2n1
ZINC00586239,CC1C[NH+](C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)[O-])c1ccccc1
ZINC00590184,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F
ZINC00592416,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OC(F)F)c1
ZINC00592853,O=C1CN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1CC1CCN(c2cc[nH+]cc2)CC1
ZINC00596731,C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
ZINC00596737,O=C([O-])Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21
ZINC00597556,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)C[NH2+]C(C)(C)C)c1
ZINC00598759,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN(c4ccccc4OC)CC3)c(OC(F)F)c21
ZINC00598852,COc1cc(NCc2ccc3[nH+]c(N)nc(N)c3c2C)cc(OC)c1OC
ZINC00598952,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1
ZINC00600324,COc1ccc2c(c1)CN(C(=O)CC[NH+]1CCC(Cc3ccccc3)CC1)CCS2
ZINC00601229,C[NH+]1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
ZINC00601281,CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1
ZINC00601291,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1
ZINC00601317,N#CC(CC[NH+]1CCC(C(=O)[O-])(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
ZINC00602032,O=C(NC(Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1
ZINC00602128,O=C([O-])CCC[NH+]1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1
ZINC00605652,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1O
ZINC00607849,COc1ccc(C(=O)Nc2ccccc2CCC2CCCC[NH+]2C)cc1
ZINC00608006,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)cc1
ZINC00608170,Cc1cc(N)c2cc(NC(=O)Nc3ccc4[nH+]c(C)cc(N)c4c3)ccc2[nH+]1
ZINC00608204,O=C([O-])c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
ZINC00608359,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC
ZINC00608360,CCOC(=O)C(c1c([O-])oc2ccccc2c1=O)c1c([O-])oc2ccccc2c1=O
ZINC00608368,CCC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OCCC(C)C)cc12
ZINC00622135,O=C(OC1C[NH+]2CCC1CC2)C(CO)(c1ccccc1)c1ccccc1
ZINC00622203,CC(C)CN(CC(C)C)C(=O)C1CCCCC1C(=O)N(CC(C)C)CC(C)C
ZINC00623387,CN(Cc1ccccc1)c1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1
ZINC00624282,CC[NH+]1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1
ZINC00628332,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(Cl)cc1Cl
ZINC00629070,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC2CCCO2)C1c1cccc(Cl)c1
ZINC00629518,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c(F)cccc1Cl
ZINC00638697,COc1ccc(C2Sc3ccccc3NC(=O)C2OC(=O)C[NH+]2CCN(C)CC2)cc1
ZINC00638708,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccccc2)c1C(=O)OCC
ZINC00639999,COC(=O)CCC1CCC(CC2CCC(CCC(=O)OC)CC2)CC1
ZINC00640396,Cc1c(N(C)CN(C)c2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C
ZINC00643952,Cc1cc2c(cc1-c1c(-c3ccc(O)c(C)c3O)n[nH]c1C)OCCO2
ZINC00665918,NC(=O)c1c(NC(=O)C2CC(=O)N(c3ccccc3)C2)sc2c1CCCC2
ZINC00668105,O=C1CC(c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)Oc2cc(O)cc(O)c21
ZINC00682436,CCOc1ccccc1C(=O)Oc1ccc(OC(=O)c2ccccc2OCC)cc1
ZINC00702129,Clc1ccc2c(c1)C(c1ccccc1Cl)=NCc1nnc(Br)n1-2
ZINC00706984,CC1CC[NH+](CC(O)CN2c3ccccc3Sc3ccccc32)CC1
ZINC00722400,O=C([O-])CCC(=O)Nc1sc2c(c1C(=O)Nc1cccc3ccccc13)CCCC2
ZINC00726313,C[NH+](C)CCC(Oc1ccccc1OCc1ccccc1)c1ccccc1
ZINC00752599,CCn1cc(C(=O)[O-])c(=O)c2c(N)c(F)c(N3CC[NH2+]CC3)c(F)c21
ZINC00753680,CCOC(=O)c1cn(CC)c2cc(N3CC[NH+](C)CC3)c(F)cc2c1=O
ZINC00754192,Cc1cc(C)c(NC(=O)C[NH+](C2CCCCC2)C2CCCCC2)c(C)c1
ZINC00754634,O=C(NCC1c2ccccc2CCN1C(=O)C1CCCCC1)C1CCCCC1
ZINC00756545,O=C(CN1CC(c2ccccc2)CC1=O)NC1C2CC3CC(C2)CC1C3
ZINC00796284,CC[NH+](CC)CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)c1ccccc1
ZINC00806640,Cc1cc(Nc2cc(C(F)(F)F)ccc2Cl)n2ncnc2n1
ZINC00808402,CC1CCCN(c2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2)C1
ZINC00816349,COc1cc2ccnc(Cc3cccc(OC)c3OC)c2cc1OC
ZINC00827252,N#Cc1c(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)sc2c1CCC2
ZINC00827259,CCN(CC)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2sc3c(c2C#N)CCCC3)c1
ZINC00833184,CS(=O)(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
ZINC00834634,O=C(Nc1ccc(I)cc1)C1CC(=O)N(C2CCCCC2)C1
